,City,Country_Code,Input_Lat,Input_Lon,Actual_Lat,Actual_Lon,MaxTemp,Humidity,Cloudiness,Wind_Speed,Date_Time,Hemisphere
415,usinsk,RU,67,58,65.9939,57.5281,34.36,94,100,17.2,5/1/2021 - 9:19:51,Northern
416,barrow,US,76,-160,71.2906,-156.7887,19.4,93,90,8.05,5/1/2021 - 9:16:33,Northern
417,toora-khem,RU,54,96,52.4675,96.11,36.57,88,100,5.99,5/1/2021 - 9:19:51,Northern
418,price,US,48,-68,39.5994,-110.8107,55.4,47,1,3.44,5/1/2021 - 9:19:52,Northern
420,la ronge,CA,63,-104,55.1001,-105.2842,48.2,66,90,5.75,5/1/2021 - 9:19:52,Northern
428,inhambane,MZ,-27,38,-23.865,35.3833,78.8,65,40,23.02,5/1/2021 - 9:19:53,Southern
429,aden,YE,12,45,12.7794,45.0367,85.78,64,94,6.76,5/1/2021 - 9:14:56,Northern
432,estelle,US,29,-90,29.8458,-90.1067,75.99,69,75,10.36,5/1/2021 - 9:19:54,Northern
435,bathsheba,BB,21,-44,13.2167,-59.5167,84.2,58,40,19.57,5/1/2021 - 9:18:2,Northern
436,starosubkhangulovo,RU,53,57,53.1031,57.4423,56.59,47,99,9.35,5/1/2021 - 9:19:54,Northern
438,elko,US,41,-115,41.0002,-115.5012,55.99,61,1,6.91,5/1/2021 - 9:19:43,Northern
443,nanakuli,US,6,-168,21.3906,-158.1547,75,88,20,10.92,5/1/2021 - 9:19:55,Northern
448,tasiilaq,GL,71,-33,65.6145,-37.6368,28.4,93,75,5.75,5/1/2021 - 9:17:32,Northern
449,rosetta,EG,32,31,31.4044,30.4164,87.8,14,0,9.22,5/1/2021 - 9:19:56,Northern
451,dudinka,RU,72,87,69.4058,86.1778,25.57,92,47,5.82,5/1/2021 - 9:19:57,Northern
454,airai,TL,10,137,-8.9266,125.4092,58.3,90,97,3.33,5/1/2021 - 9:17:36,Southern
456,velingara,SN,13,-14,13.15,-14.1167,106.03,14,12,6.96,5/1/2021 - 9:19:57,Northern
459,katsuura,JP,28,148,35.1333,140.3,66.2,88,75,12.66,5/1/2021 - 9:17:6,Northern
462,pangnirtung,CA,68,-64,66.1451,-65.7125,35.6,80,90,2.3,5/1/2021 - 9:16:43,Northern
463,kango,GA,0,10,0.1943,10.0951,90.63,58,87,2.55,5/1/2021 - 9:19:58,Northern
465,kristinehamn,SE,60,14,59.3098,14.1081,53.6,32,40,9.22,5/1/2021 - 9:20:0,Northern
469,willowmore,ZA,-33,24,-33.2926,23.4895,65.66,23,0,1.19,5/1/2021 - 9:20:0,Southern
471,port macquarie,AU,-34,160,-31.4333,152.9167,59,99,56,4.56,5/1/2021 - 9:18:9,Southern
474,port hardy,CA,44,-133,50.6996,-127.4199,44.6,100,75,2.3,5/1/2021 - 9:16:44,Northern
475,gornoye loo,RU,43,39,43.7129,39.6049,62.01,77,20,6.71,5/1/2021 - 9:20:1,Northern
477,arraial do cabo,BR,-44,-28,-22.9661,-42.0278,73.4,68,75,5.75,5/1/2021 - 9:16:27,Southern
478,luena,AO,-14,20,-11.7833,19.9167,80.6,57,75,3.91,5/1/2021 - 9:20:3,Southern
481,fez,MA,34,-5,34.0372,-4.9998,64.4,48,75,4.61,5/1/2021 - 9:20:4,Northern
482,mgandu,TZ,-6,34,-5.95,34.1333,70.61,72,86,5.75,5/1/2021 - 9:20:4,Southern
483,goure,NE,16,12,13.9835,10.2704,105.01,3,6,8.01,5/1/2021 - 9:20:5,Northern
484,puerto baquerizo moreno,EC,2,-89,-0.9,-89.6,78.8,78,40,9.22,5/1/2021 - 9:20:5,Southern
485,coxim,BR,-18,-56,-18.5067,-54.76,88.74,33,0,7,5/1/2021 - 9:20:5,Southern
486,grand gaube,MU,-18,59,-20.0064,57.6608,78.01,85,15,1.99,5/1/2021 - 9:16:29,Southern
493,zerbst,DE,52,12,51.9667,12.0833,59,49,100,3,5/1/2021 - 9:20:6,Northern
494,alcudia,ES,40,3,39.8532,3.1214,68,68,56,7,5/1/2021 - 9:20:7,Northern
497,dali,CN,25,101,25.7,100.1833,63.1,61,61,4.03,5/1/2021 - 9:20:7,Northern
502,innisfail,AU,-17,149,-17.5333,146.0333,69.28,91,49,5.26,5/1/2021 - 9:20:8,Southern
504,san juan,AR,22,-66,-31.5375,-68.5364,67.32,44,47,2.37,5/1/2021 - 9:20:8,Southern
506,cap malheureux,MU,-17,57,-19.9842,57.6142,78.01,86,14,3,5/1/2021 - 9:20:9,Southern
507,tiznit,MA,27,-8,29.5833,-9.5,68.32,37,100,11.83,5/1/2021 - 9:19:53,Northern
509,kieta,PG,1,161,-6.2167,155.6333,78.46,82,15,1.99,5/1/2021 - 9:20:9,Southern
510,puerto escondido,MX,5,-101,15.85,-97.0667,80.6,78,75,3.44,5/1/2021 - 9:17:57,Northern
516,nyurba,RU,64,118,63.2842,118.3319,34.63,99,100,3.83,5/1/2021 - 9:20:10,Northern
523,staden,BE,51,3,50.9504,3.0183,54,51,27,4,5/1/2021 - 9:20:11,Northern
525,the valley,AI,21,-61,18.217,-63.0578,86,65,40,14.97,5/1/2021 - 9:17:31,Northern
526,megion,RU,61,76,61.0296,76.1136,39.2,70,40,4.47,5/1/2021 - 9:20:12,Northern
527,kluczbork,PL,51,18,50.9728,18.2182,54,59,100,1.99,5/1/2021 - 9:20:12,Northern
531,mogadishu,SO,0,48,2.0371,45.3438,87.8,62,20,8.05,5/1/2021 - 9:20:13,Northern
533,olga,RU,43,136,43.7444,135.2892,37.74,92,100,5.21,5/1/2021 - 9:20:13,Northern
535,medea,DZ,36,3,36.2642,2.7539,71.6,49,20,16.11,5/1/2021 - 9:20:14,Northern
537,nome,US,70,-164,64.5011,-165.4064,21.2,79,90,9.22,5/1/2021 - 9:20:14,Northern
539,tuatapere,NZ,-60,158,-46.1333,167.6833,44.01,88,2,5.01,5/1/2021 - 9:20:14,Southern
540,miraflores,MX,-1,-72,19.2167,-98.8083,64.4,68,1,4.25,5/1/2021 - 9:20:15,Northern
541,verkhnetulomskiy,RU,69,32,68.6073,31.7962,37.4,30,0,2.24,5/1/2021 - 9:20:15,Northern
542,progreso,MX,23,-91,21.2833,-89.6667,82.99,74,40,11.5,5/1/2021 - 9:20:15,Northern
545,langley park,US,39,-77,38.9887,-76.9814,55.4,26,1,9.22,5/1/2021 - 9:20:16,Northern
546,turki,RU,52,43,51.987,43.2731,59.31,79,100,10.38,5/1/2021 - 9:20:16,Northern
548,kruisfontein,ZA,-83,28,-34.0033,24.7314,66.99,57,0,4,5/1/2021 - 9:17:20,Southern
550,acarau,BR,6,-40,-2.8856,-40.12,80.65,79,98,8.59,5/1/2021 - 9:20:17,Southern
551,pavilosta,LV,58,20,56.8879,21.1859,46.4,34,75,10.36,5/1/2021 - 9:20:17,Northern
552,buala,SB,-6,159,-8.145,159.5921,79.56,79,78,1.36,5/1/2021 - 9:17:22,Southern
553,bandarbeyla,SO,8,61,9.4942,50.8122,85.87,67,100,11.86,5/1/2021 - 9:16:49,Northern
554,arlit,NE,22,7,18.7369,7.3853,106.45,2,3,2.77,5/1/2021 - 9:20:18,Northern
555,chippewa falls,US,46,-91,44.9369,-91.3929,62.6,36,1,16.11,5/1/2021 - 9:15:2,Northern
566,vostok,RU,50,149,46.4856,135.8833,34.39,75,0,2.01,5/1/2021 - 9:17:59,Northern
567,aklavik,CA,68,-135,68.2191,-135.0107,23,93,90,11.5,5/1/2021 - 9:20:19,Northern
568,karratha,AU,-16,111,-20.7377,116.8463,82.45,58,23,6.78,5/1/2021 - 9:20:19,Southern
571,gisborne,NZ,-41,179,-38.6533,178.0042,53.01,65,77,1.99,5/1/2021 - 9:20:14,Southern
